"Timestamp","BUSDUCT1 Current R","BUSDUCT1 Current Y","BUSDUCT1 Current B","BUSDUCT1 VOL RY","BUSDUCT1 VOL YB","BUSDUCT1 VOL BR","BUSDUCT1 KW","BUSDUCT1 PF"
"2023-11-24 17:45:00",15.1403694153,13.6933012009,18.9299640656,405.4195861816,407.9179992676,408.0945739746,,81.5379619598
"2023-11-24 18:00:00",27.756685257,25.6296520233,30.5927448273,409.2192687988,411.6245727539,411.9169921875,,75.0211119652
"2023-11-24 18:15:00",14.7036819458,13.216506958,16.1352767944,409.7765808105,412.0687866211,412.4796447754,,78.8164317608
"2023-11-24 18:30:00",14.6589536667,13.1705646515,17.0041160583,412.2540893555,414.5975952148,414.7404174805,,79.3192744255
"2023-11-24 18:45:00",30.4039325714,28.1990280151,32.1246490479,411.6356811523,413.814666748,413.9094848633,,74.31396842
"2023-11-24 19:00:00",32.5371246338,30.1084251404,32.5914115906,414.376739502,416.2978515625,416.7993469238,,73.306542635
"2023-11-24 19:15:01",31.8276615143,29.3764286041,33.1019859314,414.8438110352,417.3434448242,417.6027526855,,73.6467480659
"2023-11-24 19:30:00",32.6053581238,30.0109596252,34.5153999329,416.3023681641,418.8514404297,419.1909790039,,73.6802875996
"2023-11-24 19:45:00",31.1944580078,28.9503326416,32.6223983765,419.6287841797,422.4502563477,422.5578918457,,72.7938532829
"2023-11-24 20:00:00",32.4344940186,30.2156085968,34.4245452881,421.992401123,424.707611084,424.6020507813,,72.4085450172
"2023-11-24 20:15:00",32.0758666992,29.887834549,33.5205116272,424.5018615723,426.9929504395,427.0145874023,,72.7279543877
"2023-11-24 20:30:00",20.0546588898,18.6042823792,22.8098716736,420.8508605957,423.026184082,423.1424865723,,77.2753119469
"2023-11-24 20:45:00",16.0284824371,14.5898714066,17.2547740936,422.1356201172,424.6109008789,424.5869445801,,75.3968954086
"2023-11-24 21:00:00",8.4094629288,7.3243060112,9.4449481964,424.2451477051,426.3949584961,426.6705322266,,85.36901474
"2023-11-24 21:15:00",7.0788064003,6.0558137894,9.0349311829,423.9917602539,426.159362793,426.4812011719,,81.3645362854
"2023-11-24 21:30:00",8.1532764435,7.0716671944,10.2699775696,423.7404174805,426.1274414063,426.3799133301,,85.4368925095
"2023-11-24 21:45:00",16.3220329285,14.935464859,19.0761642456,425.5768127441,428.0515441895,428.1647949219,,78.1140744686
"2023-11-24 22:00:00",18.8765201569,17.2606277466,20.5424137115,423.0169677734,425.2354431152,425.4288635254,,74.5905935764
"2023-11-24 22:15:00",33.3846130371,31.2462329865,34.6774711609,419.8482666016,422.0960693359,422.0385131836,,72.6674318314
"2023-11-24 22:30:00",20.2451839447,18.7799377441,23.3526229858,420.955291748,422.9952392578,423.1435241699,,77.0823657513
"2023-11-24 22:45:00",36.4251365662,34.5607414246,40.6584396362,422.2157897949,424.3406677246,424.1432495117,,77.2397339344
"2023-11-24 23:00:00",32.5309143066,30.4089164734,33.6483612061,425.0325927734,427.2610473633,427.313659668,,71.084010601
"2023-11-24 23:15:00",34.4480171204,32.2862014771,36.8360748291,417.5402832031,420.2639770508,420.1801147461,,74.0733921528
"2023-11-24 23:30:00",36.2290725708,33.6333465576,38.476650238,419.6347961426,422.4229125977,422.6373291016,,74.6439158916
"2023-11-24 23:45:00",15.0399465561,13.5710220337,17.7739181519,420.9374389648,423.3170471191,423.4978637695,,77.6471555233
"2023-11-25 00:00:00",15.1370315552,13.6859226227,17.4295387268,422.6423950195,425.2071228027,425.3382568359,,76.8247127533
"2023-11-25 00:15:00",15.368853569,13.8473701477,17.9013500214,422.4352722168,424.6053771973,424.7933959961,,77.1965920925
"2023-11-25 00:30:00",34.986366272,32.7244338989,37.5975112915,420.9025878906,423.1478881836,423.2145690918,,72.0776081085
"2023-11-25 00:45:00",33.756275177,31.6637687683,35.2753791809,421.7969970703,424.3321533203,424.2285461426,,71.8367695808
"2023-11-25 01:00:00",20.3819503784,18.5390033722,22.472984314,423.4995727539,425.8340759277,426.12890625,,75.9368360043
"2023-11-25 01:15:00",16.4392166138,15.1670370102,18.5199203491,425.0113525391,427.2882995605,427.4867553711,,77.5184810162
"2023-11-25 01:30:00",14.5100221634,13.1628913879,19.8801021576,424.810546875,427.5317687988,427.3994750977,,79.1095018387
"2023-11-25 01:45:00",16.4146156311,15.1370315552,21.9061470032,424.7278442383,427.1291503906,427.3921508789,,80.3629994392
"2023-11-25 02:00:00",14.8846464157,13.360953331,17.7909622192,426.4479675293,428.8667907715,429.1704711914,,77.1924257278
"2023-11-25 02:15:00",16.7978878021,15.4834632874,21.2316608429,426.0171813965,428.4799499512,428.6398010254,,80.1425337791
"2023-11-25 02:30:00",16.2569122314,15.1370315552,18.7017726898,427.6684875488,430.2268371582,430.3893432617,,83.5680305958
"2023-11-25 02:45:00",7.5216517448,6.6748037338,10.1512451172,427.4817199707,429.9702453613,430.1402282715,,87.3686313629
"2023-11-25 03:00:00",7.5551552773,6.8170757294,10.1213436127,428.393157959,430.2141113281,430.8636169434,,88.1010532379
"2023-11-25 03:15:00",7.420232296,6.6748037338,10.021030426,427.2225341797,429.3087158203,430.0737915039,,87.9709243774
"2023-11-25 03:30:00",9.2885541916,8.7162189484,12.0447130203,427.8673095703,430.1099853516,430.4162597656,,86.6783618927
"2023-11-25 03:45:00",10.2945413589,9.4823112488,15.3819952011,427.5735473633,429.8511047363,430.1860656738,,84.6258997917
"2023-11-25 04:00:00",7.6942811012,6.9781889915,10.2453546524,428.7648620605,430.7248535156,431.147064209,,88.0771398544
"2023-11-25 04:15:00",7.4338340759,6.7350745201,10.0913543701,427.7611999512,429.9655456543,430.2344665527,,87.6876115799
"2023-11-25 04:30:00",9.8686494827,9.0628433228,12.5660476685,427.4832763672,429.7835998535,430.3748168945,,84.1880321503
"2023-11-25 04:45:00",7.4474124908,6.6139845848,10.0612754822,427.0188903809,429.1450500488,429.6706848145,,88.056230545
"2023-11-25 05:00:00",7.4879975319,6.6748037338,10.0713129044,426.5266113281,428.7017822266,429.180267334,,88.0144238472
"2023-11-25 05:15:00",7.5149326324,6.7350745201,10.5991640091,425.748626709,427.8204345703,428.4541931152,,88.4321212769
"2023-11-25 05:30:00",7.4609651566,6.7125358582,10.0813379288,424.6626586914,426.9346923828,427.2633056641,,87.9831552505
"2023-11-25 05:45:00",7.5283646584,6.7200570107,10.1462678909,421.1605529785,423.4168701172,423.7868041992,,88.0821704865
"2023-11-25 06:00:00",7.5014772415,6.8318791389,10.8488111496,421.3740539551,423.6846008301,423.8198242188,,88.4015083313
"2023-11-25 06:15:00",7.5951657295,6.941901207,10.9645967484,415.4739990234,417.681854248,418.4794006348,,88.8635993004
"2023-11-25 06:30:00",7.5818529129,6.8318791389,10.3288316727,418.4843139648,420.8191833496,421.4844360352,,88.3503437042
"2023-11-25 06:45:00",7.7335705757,6.999871254,9.6250686646,413.229675293,415.9132995605,417.1474914551,,86.5153551102
"2023-11-25 07:00:00",7.5350708961,7.0214867592,8.1346683502,413.9026489258,416.3336791992,417.5419006348,,85.2646589279
"2023-11-25 07:15:00",7.6547884941,6.757537365,7.9715819359,411.9743652344,414.1755065918,415.5837402344,,85.5805397034
"2023-11-25 07:30:00",7.6547884941,6.7948093414,8.1408758163,408.0125732422,410.6052246094,411.90625,,85.5428695679
"2023-11-25 07:45:00",9.4342451096,8.9110832214,11.8587474823,406.133392334,406.6065063477,405.5454406738,,84.54028368
"2023-11-25 08:00:00",9.5935297012,8.6930065155,13.323094368,405.5918579102,407.6976013184,407.6441650391,,86.80164814
"2023-11-25 08:15:00",9.2939910889,8.4871912003,12.7773227692,406.7832946777,408.869354248,409.7065429688,,87.8759145737
"2023-11-25 08:30:00",7.8631205559,7.0788064003,11.1246728897,403.5239868164,406.1515197754,406.9094848633,,88.9891862869
"2023-11-25 08:45:00",16.5951862335,15.1036243439,19.4770946503,402.6878051758,405.2990112305,406.1135864258,,81.1427891254
"2023-11-25 09:00:00",33.9740524292,31.4781665802,36.9606552124,396.1010742188,399.009765625,399.4766845703,,76.0970890522
"2023-11-25 09:15:00",21.0092353821,19.1554393768,23.7919216156,403.2027282715,405.6730041504,406.025390625,,81.4006328583
"2023-11-25 09:30:00",31.7593421936,29.7879524231,36.5566444397,406.7336730957,408.9125976563,408.9199523926,,75.8552014828
"2023-11-25 09:45:00",24.3791542053,22.439245224,27.7056808472,403.7177429199,406.104095459,406.141418457,,75.9548485279
"2023-11-25 10:00:00",19.2422637939,17.201997757,21.1625537872,405.2505493164,407.6340637207,408.3311767578,,77.0557582378
"2023-11-25 10:15:00",21.8021354675,19.6192169189,24.0516490936,403.7686462402,406.0755310059,407.1280517578,,79.1771709919
"2023-11-25 10:30:00",33.1340141296,30.5349025726,36.1131591797,405.5294189453,407.2402648926,408.3588867188,,77.2683680058
"2023-11-25 10:45:00",33.0714492798,30.4968299866,35.0051307678,404.9486694336,406.8011474609,407.703125,,77.2878170013
"2023-11-25 11:00:00",24.2961330414,21.9981899261,26.1737556458,406.7474365234,409.0322875977,410.0465393066,,76.9085466862
"2023-11-25 11:15:00",31.6030883789,29.1970481873,33.3361549377,405.1316223145,407.17578125,407.696685791,,75.6114542484
"2023-11-25 11:30:00",26.7351379395,25.3243141174,29.619594574,404.503692627,406.5651550293,406.2790222168,,78.2315790653
"2023-11-25 11:45:00",33.5099639893,30.8721694946,36.3710098267,403.0607910156,404.8637695313,406.127532959,,77.2654414177
"2023-11-25 12:00:00",32.5759124756,30.2657184601,34.1268463135,406.5595397949,408.8819274902,409.2651977539,,74.8465299606
"2023-11-25 12:15:00",29.1468353271,26.955291748,31.5102462769,407.2535705566,409.4139709473,409.7408447266,,77.880603075
